MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
45,RM,57.0,7449,Reg,Inside,Other,Other,7,7,1930,1950,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,0,637,637,Ex,1108,0,0,1108,0.0,0.0,1,0,3,1,Gd,6,1,Attchd,1930.0,Unf,1,280,0,0,205,0,0,0,0,6,2007,139400
20,RL,75.0,9742,Reg,Inside,CollgCr,1Story,8,5,2002,2002,VinylSd,VinylSd,BrkFace,281.0,Gd,PConc,Gd,No,Unf,0,0,1777,1777,Ex,1795,0,0,1795,0.0,0.0,2,0,3,1,Gd,7,1,Attchd,2002.0,RFn,2,534,171,159,0,0,0,0,0,9,2008,230000
120,RM,44.0,4224,Reg,Inside,Other,1Story,5,7,1976,1976,Other,Other,None,0.0,TA,PConc,Gd,No,GLQ,840,0,200,1040,TA,1060,0,0,1060,1.0,0.0,1,0,3,1,TA,6,1,Attchd,1976.0,Unf,2,572,100,110,0,0,0,0,0,6,2007,129900
20,RL,110.0,14230,Reg,Corner,NridgHt,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,640.0,Gd,PConc,Gd,No,Unf,0,0,1566,1566,Ex,1600,0,0,1600,0.0,0.0,2,0,3,1,Gd,7,1,Attchd,2007.0,RFn,3,890,0,56,0,0,0,0,0,7,2009,256300
20,RL,60.0,7200,Reg,Corner,NAmes,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Mn,BLQ,234,486,180,900,TA,900,0,0,900,0.0,1.0,1,0,3,1,Gd,5,0,Detchd,2005.0,Unf,2,576,222,32,0,0,0,0,0,5,2010,134800
20,RL,98.0,11478,Reg,Inside,NridgHt,1Story,8,5,2007,2008,VinylSd,VinylSd,Stone,200.0,Gd,PConc,Ex,No,GLQ,1218,0,486,1704,Ex,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,1,Attchd,2008.0,RFn,3,772,0,50,0,0,0,0,0,5,2010,306000
20,RL,47.0,16321,IR1,Other,NAmes,1Story,5,6,1957,1997,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Gd,BLQ,1277,0,207,1484,TA,1600,0,0,1600,1.0,0.0,1,0,2,1,TA,6,2,Attchd,1957.0,RFn,1,319,288,258,0,0,0,0,0,12,2006,207500
30,RM,60.0,6324,IR1,Inside,Other,1Story,4,6,1927,1950,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,0,520,520,Other,520,0,0,520,0.0,0.0,1,0,1,1,Fa,4,0,Detchd,1920.0,Unf,1,240,49,0,87,0,0,0,0,5,2008,68500
70,Other,50.0,8500,Reg,Inside,Other,2Story,4,4,1920,1950,Other,Other,None,0.0,TA,BrkTil,TA,No,Unf,0,0,649,649,TA,649,668,0,1317,0.0,0.0,1,0,3,1,TA,6,0,Detchd,1920.0,Unf,1,250,0,54,172,0,0,0,0,7,2008,40000
20,RL,85.0,11049,Reg,Corner,CollgCr,1Story,8,5,2007,2007,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,Av,Unf,0,0,1234,1234,Ex,1234,0,0,1234,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,2007.0,RFn,2,484,0,30,0,0,0,0,0,1,2008,179900
20,RL,70.0,10552,IR1,Inside,NAmes,1Story,5,5,1959,1959,Other,Other,None,0.0,TA,CBlock,TA,No,Rec,1018,0,380,1398,Gd,1700,0,0,1700,0.0,1.0,1,1,4,1,Gd,6,1,Attchd,1959.0,RFn,2,447,0,38,0,0,0,0,0,4,2010,165500
120,RL,60.0,7313,Reg,Inside,NridgHt,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,246.0,Other,PConc,Ex,No,GLQ,1153,0,408,1561,Ex,1561,0,0,1561,1.0,0.0,2,0,2,1,Ex,6,1,Attchd,2005.0,Fin,2,556,203,47,0,0,0,0,0,8,2007,277500
60,RL,108.0,13418,Reg,Inside,NridgHt,2Story,8,5,2004,2005,VinylSd,VinylSd,Stone,132.0,Gd,PConc,Ex,Av,Unf,0,0,1117,1117,Ex,1132,1320,0,2452,0.0,0.0,3,1,4,1,Gd,9,1,BuiltIn,2004.0,Fin,3,691,113,32,0,0,0,0,0,9,2006,309000
20,RL,112.0,10859,Reg,Corner,CollgCr,1Story,5,5,1994,1995,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,Unf,0,0,1097,1097,Ex,1097,0,0,1097,0.0,0.0,1,1,3,1,TA,6,0,Attchd,1995.0,Unf,2,672,392,64,0,0,0,0,0,6,2009,145000
20,RL,74.0,8532,Reg,Inside,NAmes,1Story,5,6,1954,1990,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,No,Rec,1213,0,84,1297,Gd,1297,0,0,1297,0.0,1.0,1,0,3,1,TA,5,1,Attchd,1954.0,Fin,2,498,0,0,0,0,0,0,0,10,2009,153000
20,RL,68.0,7922,Reg,Inside,NAmes,1Story,5,7,1953,2007,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,GLQ,731,0,326,1057,TA,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,0,Detchd,1953.0,Unf,1,246,0,52,0,0,0,0,0,1,2010,109000
20,RL,84.0,8658,Reg,Inside,NAmes,1Story,6,5,1965,1965,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,No,Rec,643,0,445,1088,Ex,1324,0,0,1324,0.0,0.0,2,0,3,1,TA,6,1,Attchd,1965.0,RFn,2,440,0,138,0,0,0,0,0,12,2006,160000
20,RL,115.0,16905,Reg,Inside,Other,1Story,5,6,1959,1959,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,Gd,BLQ,967,0,383,1350,Gd,1328,0,0,1328,0.0,1.0,1,1,2,1,TA,5,2,Attchd,1959.0,RFn,1,308,0,104,0,0,0,0,0,7,2007,170000
20,RL,70.0,7945,Reg,Inside,NAmes,1Story,5,6,1959,1959,Other,Wd Sdng,None,0.0,TA,CBlock,TA,No,ALQ,179,506,465,1150,Ex,1150,0,0,1150,1.0,0.0,1,0,3,1,TA,6,0,Attchd,1959.0,RFn,1,300,0,0,0,0,0,0,0,5,2006,141000
120,RL,61.0,7658,Reg,Inside,NridgHt,1Story,9,5,2005,2005,MetalSd,MetalSd,BrkFace,412.0,Other,PConc,Ex,No,GLQ,456,0,1296,1752,Ex,1752,0,0,1752,1.0,0.0,2,0,2,1,Ex,6,1,Attchd,2005.0,RFn,2,576,196,82,0,0,0,0,0,2,2010,319900
50,RL,48.0,12822,IR1,Other,Other,1.5Fin,7,5,2003,2003,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,No,GLQ,1351,0,83,1434,Ex,1518,631,0,2149,1.0,0.0,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,2,670,168,43,0,0,198,0,0,8,2009,239686
20,FV,84.0,11096,Reg,Inside,Somerst,1Story,8,5,2006,2006,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,24,0,1632,1656,Ex,1656,0,0,1656,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,2006.0,RFn,3,826,0,146,0,0,0,0,0,7,2007,249700
20,RL,66.0,7742,Reg,Inside,Other,1Story,5,7,1966,1966,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,BLQ,763,0,192,955,Ex,955,0,0,955,1.0,0.0,1,0,3,1,TA,6,0,Attchd,1966.0,Unf,1,386,0,0,0,0,0,0,0,1,2007,127000
50,RM,52.0,6240,Reg,Inside,Other,1.5Fin,6,6,1934,1950,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,0,816,816,TA,816,0,360,1176,0.0,0.0,1,0,3,1,TA,6,1,Detchd,1985.0,Unf,2,528,112,0,0,0,0,0,400,9,2006,114500
90,RM,110.0,8472,Other,Corner,Other,1Story,5,5,1963,1963,Wd Sdng,Wd Sdng,None,0.0,Other,CBlock,Gd,Gd,LwQ,104,712,0,816,TA,816,0,0,816,1.0,0.0,1,0,2,1,TA,5,0,Other,1963.0,Unf,2,516,106,0,0,0,0,0,0,5,2010,110000
20,RL,68.0,50271,IR1,Inside,Other,1Story,9,5,1981,1987,Other,Other,None,0.0,Gd,CBlock,Ex,Gd,GLQ,1810,0,32,1842,Gd,1842,0,0,1842,2.0,0.0,0,1,0,1,Gd,5,1,Attchd,1981.0,Fin,3,894,857,72,0,0,0,0,0,11,2006,385000
80,RL,60.0,7134,Reg,Inside,NAmes,Other,5,5,1955,1955,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,ALQ,384,0,0,384,TA,1360,0,0,1360,0.0,0.0,1,0,3,1,TA,6,1,Detchd,1962.0,Unf,2,572,0,50,0,0,0,0,0,2,2007,130000
20,RL,100.0,10175,IR1,Inside,NAmes,1Story,6,5,1964,1964,HdBoard,Plywood,BrkFace,272.0,TA,CBlock,TA,No,BLQ,490,0,935,1425,Gd,1425,0,0,1425,0.0,0.0,2,0,3,1,TA,7,1,Attchd,1964.0,RFn,2,576,0,0,0,407,0,0,0,7,2008,180500
160,FV,24.0,2645,Reg,Inside,Somerst,2Story,8,5,1999,2000,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,No,GLQ,649,0,321,970,Ex,983,756,0,1739,1.0,0.0,2,1,3,1,Gd,7,0,Attchd,1999.0,Fin,2,480,115,0,0,0,0,0,0,8,2009,172500
60,RL,89.0,11645,IR1,Corner,CollgCr,2Story,7,5,2004,2004,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,Unf,0,0,860,860,Ex,860,860,0,1720,0.0,0.0,2,1,3,1,Gd,7,0,Attchd,2004.0,RFn,2,565,0,70,0,0,0,0,0,8,2006,196500
60,RL,66.0,13682,Other,Other,Other,2Story,10,5,2006,2006,VinylSd,VinylSd,BrkFace,1031.0,Other,PConc,Ex,Gd,Unf,0,0,1410,1410,Ex,1426,1519,0,2945,0.0,0.0,3,1,3,1,Gd,10,1,BuiltIn,2006.0,Fin,3,641,192,0,37,0,0,0,0,10,2006,438780
20,RL,60.0,7200,Reg,Inside,CollgCr,1Story,5,7,1972,1972,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,Av,ALQ,632,0,148,780,Ex,780,0,0,780,0.0,0.0,1,0,2,1,TA,4,0,Detchd,1973.0,Unf,1,352,196,0,0,0,0,0,0,1,2008,124900
20,RL,63.0,13072,Reg,Inside,Other,1Story,6,5,2004,2004,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,ALQ,941,0,217,1158,Ex,1158,0,0,1158,1.0,0.0,1,1,3,1,Gd,5,0,Detchd,2006.0,Unf,2,576,0,50,0,0,0,0,0,5,2006,158000
75,RM,60.0,7200,Reg,Inside,Other,Other,5,7,1920,1996,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,0,530,530,TA,581,530,0,1111,0.0,0.0,1,0,3,1,Fa,6,0,Detchd,1935.0,Unf,1,288,0,0,144,0,0,0,0,3,2007,101000
120,RL,44.0,6442,IR1,Inside,NridgHt,1Story,8,5,2006,2006,VinylSd,VinylSd,Stone,178.0,Gd,PConc,Gd,Mn,GLQ,24,0,1346,1370,Ex,1370,0,0,1370,0.0,0.0,2,0,2,1,Gd,6,1,Attchd,2006.0,RFn,2,484,120,49,0,0,0,0,0,10,2007,202500
70,RM,50.0,10300,IR1,Inside,OldTown,2Story,7,6,1921,1950,Other,Other,None,0.0,TA,BrkTil,TA,No,Unf,0,0,576,576,Gd,902,808,0,1710,0.0,0.0,2,0,3,1,TA,9,0,Detchd,1990.0,Unf,2,480,12,11,64,0,0,0,0,4,2010,140000
60,RL,76.0,9591,Reg,Inside,NridgHt,2Story,8,5,2004,2005,VinylSd,VinylSd,BrkFace,344.0,Gd,PConc,Ex,Av,Unf,0,0,1143,1143,Ex,1143,1330,0,2473,0.0,0.0,2,1,4,1,Gd,9,1,BuiltIn,2004.0,RFn,3,852,192,151,0,0,0,0,0,10,2007,317000
20,RL,72.0,10665,IR1,Inside,CollgCr,1Story,7,5,2003,2003,VinylSd,VinylSd,BrkFace,167.0,Gd,PConc,Gd,Av,GLQ,1013,0,440,1453,Ex,1479,0,0,1479,1.0,0.0,2,0,3,1,Gd,7,0,Attchd,2003.0,RFn,2,558,144,29,0,0,0,0,0,6,2007,226000
30,RM,47.0,4608,Reg,Corner,OldTown,1Story,4,6,1945,1950,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,Unf,0,0,747,747,TA,747,0,0,747,0.0,0.0,1,0,2,1,TA,4,0,Attchd,1945.0,Unf,1,220,0,0,0,0,0,0,0,6,2010,80000
50,RL,81.0,15593,Reg,Corner,Other,1.5Fin,7,4,1953,1953,Other,Other,None,0.0,Gd,CBlock,TA,No,BLQ,603,0,701,1304,TA,1304,983,0,2287,0.0,0.0,2,0,3,1,TA,7,1,Attchd,1953.0,Fin,2,667,0,21,114,0,0,0,0,7,2006,225000
20,RL,95.0,13651,IR1,Inside,NAmes,1Story,7,6,1973,1973,Plywood,Plywood,BrkFace,1115.0,TA,CBlock,Gd,Gd,ALQ,1880,0,343,2223,Ex,2223,0,0,2223,1.0,0.0,2,0,3,1,TA,8,2,Attchd,1973.0,Fin,2,516,300,0,0,0,0,0,0,2,2007,244000
20,RL,69.0,7599,Reg,Corner,Other,1Story,4,6,1982,2006,HdBoard,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,565,0,280,845,TA,845,0,0,845,1.0,0.0,1,0,2,1,TA,4,0,Detchd,1987.0,Unf,2,360,0,0,0,0,0,0,0,6,2007,129500
60,RL,74.0,10141,IR1,Corner,Gilbert,2Story,7,5,1998,1998,VinylSd,VinylSd,BrkFace,40.0,TA,PConc,Gd,No,Unf,0,0,832,832,Gd,885,833,0,1718,0.0,0.0,2,1,3,1,TA,7,1,Attchd,1998.0,Fin,2,427,0,94,0,0,291,0,0,12,2009,185000
20,RL,85.0,10200,Reg,Inside,NAmes,1Story,5,7,1954,2003,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,CBlock,TA,No,ALQ,320,362,404,1086,Gd,1086,0,0,1086,1.0,0.0,1,0,3,1,TA,6,0,Attchd,1989.0,Unf,2,490,0,0,0,0,0,0,0,5,2010,144900
50,RM,60.0,5790,Reg,Corner,OldTown,2Story,3,6,1915,1950,VinylSd,VinylSd,None,0.0,Gd,CBlock,Fa,No,Unf,0,0,840,840,Gd,840,765,0,1605,0.0,0.0,2,0,3,2,TA,8,0,Detchd,1915.0,Unf,1,379,0,0,202,0,0,0,0,5,2010,107400
180,RM,21.0,1596,Reg,Inside,Other,Other,4,5,1973,1973,Other,Other,None,0.0,TA,CBlock,Gd,Gd,GLQ,462,0,0,462,TA,526,462,0,988,1.0,0.0,1,0,2,1,TA,5,0,BuiltIn,1973.0,Unf,1,297,120,101,0,0,0,0,0,11,2009,91000
50,RM,50.0,8635,Reg,Inside,Other,1.5Fin,5,5,1948,2001,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,BLQ,336,41,295,672,TA,1072,213,0,1285,1.0,0.0,1,0,2,1,TA,6,0,Detchd,1948.0,Unf,1,240,0,0,0,0,0,0,0,1,2008,127000
50,RM,60.0,10440,Reg,Corner,OldTown,2Story,5,6,1910,1981,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,0,440,440,Gd,682,548,0,1230,0.0,0.0,1,1,2,1,TA,5,0,Detchd,1966.0,Unf,2,440,74,0,128,0,0,0,0,5,2009,110000
60,RL,100.0,13000,Reg,Corner,NAmes,2Story,6,6,1968,1968,VinylSd,VinylSd,BrkFace,576.0,TA,CBlock,Gd,No,Rec,448,0,448,896,TA,1182,960,0,2142,0.0,0.0,2,1,4,1,Gd,8,1,Attchd,1968.0,Fin,1,509,0,72,0,0,252,0,0,6,2009,193500
120,RM,32.0,4500,Reg,Other,Other,1Story,6,5,1998,1998,VinylSd,VinylSd,BrkFace,443.0,TA,PConc,Ex,No,GLQ,1201,0,36,1237,Ex,1337,0,0,1337,1.0,0.0,2,0,2,1,TA,5,0,Attchd,1998.0,Fin,2,405,0,199,0,0,0,0,0,3,2006,153500
20,RL,78.0,10206,Reg,Inside,Somerst,1Story,8,5,2007,2007,VinylSd,VinylSd,Stone,468.0,TA,PConc,Gd,No,GLQ,33,0,1530,1563,Ex,1563,0,0,1563,0.0,0.0,2,0,3,1,Gd,6,1,Attchd,2007.0,RFn,3,758,144,99,0,0,0,0,0,10,2008,245000
20,RL,80.0,8892,IR1,Inside,NAmes,1Story,5,5,1960,1960,MetalSd,MetalSd,BrkCmn,66.0,TA,CBlock,TA,No,Unf,0,0,1065,1065,Gd,1065,0,0,1065,0.0,0.0,1,1,3,1,TA,6,0,Detchd,1974.0,Unf,2,461,74,0,0,0,0,0,0,7,2007,126500
60,RL,121.0,16059,Reg,Corner,Other,2Story,8,5,1991,1992,HdBoard,HdBoard,BrkFace,284.0,Gd,CBlock,Gd,No,Unf,0,0,1288,1288,Ex,1301,1116,0,2417,0.0,0.0,2,1,4,1,Gd,9,1,Attchd,1991.0,Unf,2,462,127,82,0,0,0,0,0,4,2006,260000
60,RL,122.0,11911,Other,Inside,Gilbert,2Story,6,5,2005,2005,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,Unf,0,0,684,684,Ex,684,876,0,1560,0.0,0.0,2,1,3,1,Gd,6,1,BuiltIn,2005.0,Fin,2,400,100,38,0,0,0,0,0,3,2009,174000
160,FV,40.0,3951,Reg,Corner,Somerst,2Story,6,5,2009,2009,VinylSd,VinylSd,Stone,76.0,Gd,PConc,Gd,Av,Unf,0,0,612,612,Ex,612,612,0,1224,0.0,0.0,2,1,2,1,Gd,4,0,Detchd,2009.0,RFn,2,528,0,234,0,0,0,0,0,6,2009,164500
20,RL,85.0,8500,Reg,Inside,NAmes,1Story,5,3,1961,1961,HdBoard,HdBoard,BrkCmn,203.0,TA,CBlock,TA,No,Rec,600,0,635,1235,TA,1235,0,0,1235,0.0,0.0,1,0,2,1,TA,6,0,Attchd,1961.0,Unf,2,480,0,0,0,0,0,0,0,12,2006,98600
30,RL,80.0,13360,IR1,Inside,Other,1Story,5,7,1921,2006,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,Gd,No,ALQ,713,0,163,876,Ex,964,0,0,964,1.0,0.0,1,0,2,1,TA,5,0,Detchd,1921.0,Unf,2,432,0,0,44,0,0,0,0,8,2009,163500
190,Other,60.0,7200,Reg,Corner,OldTown,Other,6,6,1910,1998,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,Mn,Rec,1046,0,168,1214,Ex,1260,1031,0,2291,0.0,1.0,2,0,4,2,TA,9,1,Detchd,1900.0,Unf,2,506,0,0,0,0,99,0,0,11,2007,133900
60,RL,69.0,9337,IR1,Inside,CollgCr,2Story,6,5,1997,1997,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,GLQ,648,0,176,824,Ex,905,881,0,1786,1.0,0.0,2,1,3,1,Gd,7,0,Attchd,1997.0,RFn,2,684,0,162,0,0,0,0,0,5,2007,204750
20,RL,78.0,10264,IR1,Inside,CollgCr,1Story,7,5,1999,1999,VinylSd,VinylSd,BrkFace,183.0,Gd,PConc,Gd,Av,ALQ,1162,0,426,1588,Ex,1588,0,0,1588,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,1999.0,RFn,2,472,158,29,0,0,0,0,0,8,2006,214000
20,RL,73.0,10921,Reg,Inside,Edwards,1Story,4,5,1965,1965,HdBoard,HdBoard,BrkFace,48.0,TA,CBlock,TA,No,Rec,520,0,440,960,TA,960,0,0,960,1.0,0.0,1,0,3,1,TA,6,0,Attchd,1965.0,Fin,1,432,120,0,0,0,0,0,0,5,2007,94750
30,RL,85.0,10625,Reg,Corner,Edwards,1Story,5,5,1920,1950,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,No,ALQ,108,0,350,458,Other,835,0,0,835,0.0,0.0,1,0,2,1,TA,5,0,Other,1920.0,Unf,1,366,0,0,77,0,0,0,400,5,2010,83000
60,RL,77.0,9206,Reg,Inside,Other,2Story,6,5,1985,1985,HdBoard,HdBoard,BrkFace,336.0,Gd,CBlock,Gd,No,Unf,0,0,741,741,TA,977,755,0,1732,0.0,0.0,2,1,3,1,Gd,7,1,Attchd,1985.0,Fin,2,476,192,46,0,0,0,0,0,6,2010,178000
20,RL,94.0,10402,IR1,Corner,CollgCr,1Story,7,5,2009,2009,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,Unf,0,0,1226,1226,Ex,1226,0,0,1226,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,2009.0,RFn,3,740,0,36,0,0,0,0,0,5,2010,198900
60,FV,75.0,9375,Reg,Inside,Somerst,2Story,8,5,2003,2004,VinylSd,VinylSd,BrkFace,768.0,Gd,PConc,Ex,No,Unf,0,0,1053,1053,Ex,1053,939,0,1992,0.0,0.0,2,1,3,1,Gd,9,1,Attchd,2003.0,RFn,2,648,140,45,0,0,0,0,0,8,2008,250000
